id;key;shift_start;shift_end;type
1;10684;2024-01-31T11:37:49;2024-01-31T16:52:57;by incidentally thankfully
2;1069;2024-01-31T22:18:53;2024-01-31T02:44:54;behind
3;3281;2024-01-31T19:07:11;2024-01-31T07:24:24;warmly
4;16350;2024-01-31T17:25:29;2024-01-31T21:32:13;furiously
5;20586;2024-01-31T06:50:04;2024-01-31T20:48:20;fervently mmm
6;16025;2024-01-31T21:08:18;2024-01-31T17:16:54;tense faithful
7;3225;2024-02-01T00:55:05;2024-01-31T14:58:07;phooey
8;6557;2024-01-31T23:49:11;2024-01-31T09:08:44;grass politics usually
9;31499;2024-01-31T12:12:57;2024-01-31T22:57:02;seldom that shuttle
10;9163;2024-01-31T13:26:33;2024-01-31T09:13:06;raft
