id;key;shift_start;shift_end;type
1;22826;2024-01-31T05:47:17;2024-01-31T04:20:37;yowza absent bitterly
2;1927;2024-01-31T04:43:53;2024-01-31T14:12:17;gee
3;8114;2024-01-31T21:46:48;2024-01-31T12:42:01;mountainous
4;4402;2024-01-31T14:56:06;2024-01-31T19:40:46;excited by popular
5;14217;2024-01-31T10:28:34;2024-01-31T15:52:55;whether behind
6;24887;2024-01-31T04:33:11;2024-01-31T14:47:01;questioningly placate zowie
7;16844;2024-01-31T18:25:05;2024-02-01T00:56:30;opposite nonstop discover
8;8743;2024-01-31T06:56:56;2024-01-31T15:42:17;incinerate usually despite
9;3919;2024-01-31T07:37:51;2024-01-31T12:34:31;rash
10;14545;2024-01-31T21:08:48;2024-01-31T20:45:36;including off
